"Obs";"Data";"Dia da semana";"Sabor";"Valor";"Satis geral";"Sabor aval";"Rapidez aval";"Preço aval";"Comun aval"
"480";44394;"domingo";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"481";44394;"domingo";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"482";44394;"domingo";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"483";44394;"domingo";"Frango";31;"1-Excelente";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"484";44394;"domingo";"Muçarela";23;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"485";44394;"domingo";"Muçarela";23;"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"486";44394;"domingo";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito"
"487";44394;"domingo";"Muçarela";23;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"488";44394;"domingo";"Napolitana";28;"2-Satisfeito";"1-Excelente";"3-Razoável";"2-Satisfeito";"4-Insatisfeito"
"489";44394;"domingo";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"4-Insatisfeito"
"490";44394;"domingo";"Palmito";27;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"4-Insatisfeito"
"491";44394;"domingo";"Napolitana";28;"3-Razoável";"1-Excelente";"3-Razoável";"4-Insatisfeito";"2-Satisfeito"
"492";44394;"domingo";"Palmito";27;"3-Razoável";"4-Insatisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito"
"493";44394;"domingo";"Quatro queijos";32;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"494";44394;"domingo";"Frango";31;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"495";44394;"domingo";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"496";44394;"domingo";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"1-Excelente";"2-Satisfeito";"3-Razoável"
"497";44395;"segunda-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"498";44395;"segunda-feira";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"499";44395;"segunda-feira";"Portuguesa";40;"1-Excelente";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"500";44395;"segunda-feira";"Atum";35;"2-Satisfeito";"1-Excelente";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"501";44395;"segunda-feira";"Calabresa";25;"3-Razoável";"3-Razoável";"3-Razoável";"4-Insatisfeito";"1-Excelente"
"502";44395;"segunda-feira";"Muçarela";23;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"503";44395;"segunda-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável"
"504";44395;"segunda-feira";"Portuguesa";40;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"505";44395;"segunda-feira";"Atum";35;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"506";44395;"segunda-feira";"Frango";31;"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"507";44395;"segunda-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"508";44395;"segunda-feira";"Marguerita";29;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"509";44395;"segunda-feira";"Marguerita";29;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"510";44395;"segunda-feira";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"511";44395;"segunda-feira";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"512";44395;"segunda-feira";"Quatro queijos";32;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"513";44396;"terça-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"514";44396;"terça-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável"
"515";44396;"terça-feira";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"2-Satisfeito"
"516";44396;"terça-feira";"Muçarela";23;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"517";44396;"terça-feira";"Calabresa";25;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"518";44396;"terça-feira";"Calabresa";25;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"519";44396;"terça-feira";"Portuguesa";40;"1-Excelente";"4-Insatisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"520";44396;"terça-feira";"Calabresa";25;"2-Satisfeito";"1-Excelente";"3-Razoável";"1-Excelente";"2-Satisfeito"
"521";44396;"terça-feira";"Atum";35;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"522";44396;"terça-feira";"Marguerita";29;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"523";44396;"terça-feira";"Calabresa";25;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"524";44396;"terça-feira";"Frango";31;"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"525";44396;"terça-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"1-Excelente"
"526";44396;"terça-feira";"Calabresa";25;"2-Satisfeito";"4-Insatisfeito";"1-Excelente";"1-Excelente";"1-Excelente"
"527";44396;"terça-feira";"Muçarela";23;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"1-Excelente"
"528";44396;"terça-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"529";44396;"terça-feira";"Atum";35;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"530";44397;"quarta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"531";44397;"quarta-feira";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"532";44397;"quarta-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"533";44397;"quarta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"2-Satisfeito"
"534";44397;"quarta-feira";"Portuguesa";40;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"535";44397;"quarta-feira";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"536";44397;"quarta-feira";"Napolitana";28;"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"537";44397;"quarta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"538";44397;"quarta-feira";"Calabresa";25;"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável"
"539";44397;"quarta-feira";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"540";44397;"quarta-feira";"Calabresa";25;"1-Excelente";"4-Insatisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"541";44397;"quarta-feira";"Portuguesa";40;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"542";44397;"quarta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"543";44397;"quarta-feira";"Frango";31;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável"
"544";44397;"quarta-feira";"Frango";31;"4-Insatisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito";"4-Insatisfeito"
"545";44397;"quarta-feira";"Muçarela";23;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"546";44397;"quarta-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"547";44397;"quarta-feira";"Frango";31;"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável"
"548";44397;"quarta-feira";"Frango";31;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"1-Excelente"
"549";44398;"quinta-feira";"Muçarela";23;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"550";44398;"quinta-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"551";44398;"quinta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"552";44398;"quinta-feira";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"553";44398;"quinta-feira";"Portuguesa";40;"1-Excelente";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"554";44398;"quinta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável"
"555";44398;"quinta-feira";"Muçarela";23;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"556";44398;"quinta-feira";"Calabresa";25;"3-Razoável";"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável"
"557";44398;"quinta-feira";"Portuguesa";40;"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável"
"558";44398;"quinta-feira";"Atum";35;"3-Razoável";"2-Satisfeito";"1-Excelente";"1-Excelente";"2-Satisfeito"
"559";44398;"quinta-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"560";44398;"quinta-feira";"Muçarela";23;"2-Satisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"2-Satisfeito"
"561";44398;"quinta-feira";"Marguerita";29;"1-Excelente";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"562";44398;"quinta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"563";44398;"quinta-feira";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"564";44398;"quinta-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"565";44398;"quinta-feira";"Quatro queijos";32;"3-Razoável";"3-Razoável";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito"
"566";44398;"quinta-feira";"Pepperone";30;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"1-Excelente"
"567";44398;"quinta-feira";"Napolitana";28;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"568";44398;"quinta-feira";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"1-Excelente"
"569";44398;"quinta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"570";44398;"quinta-feira";"Quatro queijos";32;"1-Excelente";"4-Insatisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"571";44398;"quinta-feira";"Atum";35;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"572";44398;"quinta-feira";"Portuguesa";40;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"573";44398;"quinta-feira";"Quatro queijos";32;"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"574";44398;"quinta-feira";"Pepperone";30;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"575";44398;"quinta-feira";"Atum";35;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"576";44398;"quinta-feira";"Frango";31;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"577";44398;"quinta-feira";"Pepperone";30;"1-Excelente";"1-Excelente";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"578";44398;"quinta-feira";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"579";44398;"quinta-feira";"Marguerita";29;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"580";44398;"quinta-feira";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"581";44398;"quinta-feira";"Calabresa";25;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"4-Insatisfeito"
"582";44398;"quinta-feira";"Portuguesa";40;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"583";44398;"quinta-feira";"Marguerita";29;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"584";44398;"quinta-feira";"Atum";35;"1-Excelente";"4-Insatisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"585";44398;"quinta-feira";"Muçarela";23;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável"
"586";44399;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"587";44399;"sexta-feira";"Marguerita";29;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"588";44399;"sexta-feira";"Calabresa";25;"3-Razoável";"1-Excelente";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"589";44399;"sexta-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"590";44399;"sexta-feira";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"4-Insatisfeito"
"591";44399;"sexta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável"
"592";44399;"sexta-feira";"Napolitana";28;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"1-Excelente"
"593";44399;"sexta-feira";"Frango";31;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito"
"594";44399;"sexta-feira";"Calabresa";25;"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"595";44399;"sexta-feira";"Pepperone";30;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"3-Razoável"
"596";44399;"sexta-feira";"Muçarela";23;"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"597";44399;"sexta-feira";"Atum";35;"2-Satisfeito";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"598";44399;"sexta-feira";"Muçarela";23;"2-Satisfeito";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"599";44399;"sexta-feira";"Calabresa";25;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"600";44399;"sexta-feira";"Quatro queijos";32;"2-Satisfeito";"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável"
"601";44399;"sexta-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"602";44399;"sexta-feira";"Napolitana";28;"3-Razoável";"1-Excelente";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito"
"603";44399;"sexta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"604";44399;"sexta-feira";"Marguerita";29;"1-Excelente";"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável"
"605";44399;"sexta-feira";"Atum";35;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"1-Excelente"
"606";44399;"sexta-feira";"Pepperone";30;"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"607";44399;"sexta-feira";"Napolitana";28;"1-Excelente";"3-Razoável";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"608";44399;"sexta-feira";"Calabresa";25;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"609";44399;"sexta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"610";44399;"sexta-feira";"Marguerita";29;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável"
"611";44399;"sexta-feira";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"612";44399;"sexta-feira";"Frango";31;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"613";44399;"sexta-feira";"Frango";31;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito"
"614";44399;"sexta-feira";"Frango";31;"3-Razoável";"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável"
"615";44399;"sexta-feira";"Portuguesa";40;"1-Excelente";"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável"
"616";44399;"sexta-feira";"Frango";31;"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável"
"617";44399;"sexta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"618";44399;"sexta-feira";"Pepperone";30;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"619";44399;"sexta-feira";"Napolitana";28;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"620";44399;"sexta-feira";"Calabresa";25;"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"4-Insatisfeito"
"621";44399;"sexta-feira";"Pepperone";30;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"622";44399;"sexta-feira";"Muçarela";23;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"623";44399;"sexta-feira";"Muçarela";23;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"624";44399;"sexta-feira";"Quatro queijos";32;"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito";"4-Insatisfeito"
"625";44399;"sexta-feira";"Muçarela";23;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável"
"626";44399;"sexta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito"
"627";44399;"sexta-feira";"Frango";31;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"628";44399;"sexta-feira";"Atum";35;"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito"
"629";44399;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"630";44399;"sexta-feira";"Frango";31;"3-Razoável";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"2-Satisfeito"
"631";44399;"sexta-feira";"Marguerita";29;"3-Razoável";"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"632";44399;"sexta-feira";"Calabresa";25;"4-Insatisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"633";44399;"sexta-feira";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"634";44399;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"4-Insatisfeito"
"635";44399;"sexta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"636";44399;"sexta-feira";"Portuguesa";40;"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito"
"637";44399;"sexta-feira";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"638";44399;"sexta-feira";"Frango";31;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável"
"639";44399;"sexta-feira";"Marguerita";29;"3-Razoável";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"640";44399;"sexta-feira";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"641";44399;"sexta-feira";"Muçarela";23;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"642";44399;"sexta-feira";"Atum";35;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"1-Excelente"
"643";44399;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"644";44399;"sexta-feira";"Napolitana";28;"3-Razoável";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"645";44399;"sexta-feira";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"646";44400;"sábado";"Portuguesa";40;"1-Excelente";"3-Razoável";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"647";44400;"sábado";"Muçarela";23;"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"648";44400;"sábado";"Frango";31;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"649";44400;"sábado";"Portuguesa";40;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável"
"650";44400;"sábado";"Atum";35;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável"
"651";44400;"sábado";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"652";44400;"sábado";"Frango";31;"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável";"1-Excelente"
"653";44400;"sábado";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"654";44400;"sábado";"Calabresa";25;"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito";"3-Razoável"
"655";44400;"sábado";"Muçarela";23;"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"656";44400;"sábado";"Muçarela";23;"1-Excelente";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"1-Excelente"
"657";44400;"sábado";"Quatro queijos";32;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito"
"658";44400;"sábado";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"659";44400;"sábado";"Napolitana";28;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"660";44400;"sábado";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"1-Excelente"
"661";44400;"sábado";"Quatro queijos";32;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"662";44400;"sábado";"Atum";35;"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito";"2-Satisfeito"
"663";44400;"sábado";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito"
"664";44400;"sábado";"Pepperone";30;"3-Razoável";"2-Satisfeito";"4-Insatisfeito";"2-Satisfeito";"2-Satisfeito"
"665";44400;"sábado";"Quatro queijos";32;"2-Satisfeito";"1-Excelente";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
"666";44400;"sábado";"Pepperone";30;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"667";44400;"sábado";"Napolitana";28;"1-Excelente";"2-Satisfeito";"3-Razoável";"2-Satisfeito";"1-Excelente"
"668";44400;"sábado";"Muçarela";23;"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável";"2-Satisfeito"
"669";44400;"sábado";"Quatro queijos";32;"3-Razoável";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"670";44400;"sábado";"Marguerita";29;"1-Excelente";"2-Satisfeito";"3-Razoável";"3-Razoável";"4-Insatisfeito"
"671";44400;"sábado";"Portuguesa";40;"3-Razoável";"2-Satisfeito";"3-Razoável";"4-Insatisfeito";"1-Excelente"
"672";44400;"sábado";"Atum";35;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"673";44400;"sábado";"Calabresa";25;"1-Excelente";"2-Satisfeito";"2-Satisfeito";"3-Razoável";"2-Satisfeito"
"674";44400;"sábado";"Calabresa";25;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"1-Excelente"
"675";44401;"domingo";"Quatro queijos";32;"2-Satisfeito";"2-Satisfeito";"3-Razoável";"3-Razoável";"2-Satisfeito"
"676";44401;"domingo";"Marguerita";29;"2-Satisfeito";"2-Satisfeito";"4-Insatisfeito";"4-Insatisfeito";"2-Satisfeito"
"677";44401;"domingo";"Palmito";27;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável"
"678";44401;"domingo";"Pepperone";30;"1-Excelente";"3-Razoável";"3-Razoável";"3-Razoável";"1-Excelente"
"679";44401;"domingo";"Muçarela";23;"2-Satisfeito";"4-Insatisfeito";"3-Razoável";"3-Razoável";"1-Excelente"
"680";44401;"domingo";"Portuguesa";40;"2-Satisfeito";"3-Razoável";"3-Razoável";"3-Razoável";"3-Razoável"
"681";44401;"domingo";"Palmito";27;"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito";"2-Satisfeito"
